in_repo,Calc,Smiles,path_l_geom,path_l_freq,"** replace the ""~/"" with the local directory to the DFT folder"
Y,formate,[CH]([O-])=[O],DFT_files/formate,DFT_files/formate,
Y,oxalate,[O-][C](=[O])[C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,O2,[O][O],DFT_files/formate,DFT_files/formate,
Y,hydronium,[OH3+],DFT_files/formate,DFT_files/formate,
Y,water,[OH2],DFT_files/formate,DFT_files/formate,
Y,hydrogen_peroxide,[OH][OH],DFT_files/formate,DFT_files/formate,
Y,OOH,[O][OH],DFT_files/formate,DFT_files/formate,
Y,CO2,[O]=[C]=[O],DFT_files/formate,DFT_files/formate,
Y,formic_acid,[CH]([OH])=[O],DFT_files/formate,DFT_files/formate,
Y,oxalic_acid,[OH][C](=[O])[C](=[O])[OH],DFT_files/formate,DFT_files/formate,
Y,OH,[OH],DFT_files/formate,DFT_files/formate,
Y,glyoxylate_hydrate,[OH][CH]([OH])[C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,formic_acid_rad,[C]([OH])=[O],DFT_files/formate,DFT_files/formate,
Y,glyoxylate_hydrate_rad,[OH][C]([OH])[C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,glyoxylic_acid_hydrate_rad,[OH][C]([OH])[C](=[O])[OH],DFT_files/formate,DFT_files/formate,
Y,glyoxal_dihydrate_rad,[OH][CH]([OH])[C]([OH])[OH],DFT_files/formate,DFT_files/formate,
Y,glyoxal_dihydrate,[OH][CH]([OH])[CH]([OH])[OH],DFT_files/formate,DFT_files/formate,
Y,hydrogen_oxalate,[OH][C](=[O])[C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,glyoxylic_acid_hydrate,[OH][CH]([OH])[C](=[O])[OH],DFT_files/formate,DFT_files/formate,
Y,methandiol_rad,[CH]([OH])[OH],DFT_files/formate,DFT_files/formate,
Y,hydroxide,[OH-],DFT_files/formate,DFT_files/formate,
Y,carboxylate,[C]([O-])=[O],DFT_files/formate,DFT_files/formate,
Y,superoxide,[O][O-],DFT_files/formate,DFT_files/formate,
Y,bicarbonate,[O-][C](=[O])[OH],DFT_files/formate,DFT_files/formate,
Y,carbonate_radical,[O-][C](=[O])[O],DFT_files/formate,DFT_files/formate,
Y,carbonate,[O-][C](=[O])[O-],DFT_files/formate,DFT_files/formate,
Y,gloxylate_dehydrate,[O]=[CH][C](=[O])[O-],DFT_files/formate,DFT_files/formate,
