,rxns,[OH][CH]([OH])[C](=[O])[O-],[OH-],[O-][C](=[O])[O-],[C]([O-])=[O],[O][O],[O-][C](=[O])[OH],[O]=[CH][C](=[O])[OH],[O][OH],[OH3+],[OH][C]([OH])[C](=[O])[OH],[O-][C](=[O])[O],[OH][C](=[O])[C](=[O])[OH],[CH]([O-])=[O],[OH],[OH][CH]([OH])[C](=[O])[OH],[OH][C](=[O])[C](=[O])[O-],[OH][CH]([OH])[CH]([O][O])[OH],[OH][CH]([OH])[CH]=[O],[O-][C](=[O])[C](=[O])[O-],[O]=[CH][C](=[O])[O-],[OH][CH]([OH])[CH]([O])[OH],[O][O-],[O]=[C]=[O],[OH2],[CH]([OH])=[O],[OH][C]([OH])[C](=[O])[O-],[OH][CH]([OH])[CH]([OH])[OH],[OH][OH],[OH][CH]([OH])[C]([OH])[OH],[CH]([OH])[OH],[C]([OH])=[O]
0,[OH]+[OH]+->[OH][OH]+++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,[OH]+[O][OH]+->[OH2]+[O][O]++,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,[OH]+[OH][OH]+->[OH2]+[O][OH]++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
5,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
6,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
7,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
11,[CH]([OH])[OH]+[O][O]+->[CH]([OH])=[O]+[O][OH]++,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0
12,[CH]([OH])=[O]+[OH]+->[C]([OH])=[O]+[OH2]++,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0
13,[C]([OH])=[O]+[O][O]+->[O]=[C]=[O]+[O][OH]++,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
14,[CH]([O-])=[O]+[OH]+->[C]([O-])=[O]+[OH2]++,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,[C]([O-])=[O]+[O][O]+->[O]=[C]=[O]+[O][O-]++,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,[OH][CH]([OH])[C](=[O])[OH]++->[O]=[CH][C](=[O])[OH]+[OH2]++,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,[OH][CH]([OH])[C](=[O])[O-]++->[O]=[CH][C](=[O])[O-]+[OH2]++,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
