,s_rxns,delG_TS,delG_rxn,ks_f0,ks_f_smd,ks_r,Ks_eq,delG_TS_r,delH_TS,delH_rxn,delH_TS_r,delS_TS,delS_rxn,delS_TS_r
0,[OH]+[OH]+->[OH][OH]+++,0.0,-169.68352409411455,6771901368382.767,13630438562.14197,0.0,1.868714883157033e+27,0.0,-394758.1872591698,-204.73662135290215,-394553.4506378169,-1214640.576182061,-107.85568387319262,-1214010.617347129
1,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++,44.87549879425205,-121.15805822005495,415258.5592269798,415245.90853955556,1.3989121440242498e-14,2.9684391618219045e+19,166.033557014307,5.348598608281463,-127.19342728832271,132.54202589660417,-121.62123134144797,-18.570366363900785,-103.05086497754719
2,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,0.0,-17.89885957131628,6771901368382.767,13633536926.668318,0.0,752.8447985525393,0.0,294897.6012689144,-22.989649701397866,294920.5909186158,907377.2346735828,-15.663969631020267,907447.9720572794
3,[OH]+[O][OH]+->[OH2]+[O][O]++,9.761608337867074,-261.8717337101698,182736173401.33542,12742308272.274084,1.4920679473682696e-31,1.224717505148799e+42,271.63334204803687,-11.138111470383592,-266.15032072528265,255.01220925489906,-64.30683017923282,-13.164883123424191,-51.14194705580863
4,[OH]+[OH][OH]+->[OH2]+[O][OH]++,31.81953603576403,-140.71367549011484,52080299.12593495,51883579.83074064,1.2623090535971396e-15,4.125796212704346e+22,172.53321152587887,2.0056337629212067,-138.95689343695994,140.96252719988115,-91.73508391643946,5.4054832404765945,-97.14056715691606
5,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++,27.599002055823803,-104.78862624778412,248312090.74746,244137255.20735532,3.5757364454854745e-09,6.944362218333031e+16,132.38762830360793,-6.24302547913976,-97.86088663432747,91.61786115518771,-104.12931549219557,21.31612188755893,-125.4454373797545
6,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++,0.0,-177.5157895598095,6771901368382.767,14176868064.696646,0.0,3.3911349719279427e+28,0.0,599967.546500921,-179.73290182836354,600147.2794027494,1846053.989233603,-6.82188390324322,1846607.0135469213
7,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++,28.27815319178626,-159.42791839851998,193127744.20648736,190576048.09079152,4.598148542229032e-18,4.200119731514076e+25,187.70607159030624,-2.161690389038995,-152.41033978876658,150.24864939972758,-93.66105717177001,21.592549568472002,-115.25360674024202
8,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++,34.223711158614606,-108.85899590072222,21393130.69148448,21360700.624079447,6.830492187309431e-11,3.132004269213781e+17,143.08270705933683,-4.537568791303784,-109.22446802817285,104.68689923686907,-119.26547676897965,-1.1245296229250157,-118.14094714605466
9,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++,12.972900092601776,-156.03002992691472,55680814820.45269,11439154431.52232,4.6617898023564526e-15,1.19440852507566e+25,169.0029300195165,-22.67610960523598,-150.72384671960026,128.04773711436428,-109.68926060873154,16.326717560967577,-126.01597816969911
10,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++,0.0,-136.5144661483355,6771901368382.767,14061003796.878529,0.0,8.721891362843498e+21,0.0,-39.83077547326684,-135.62938610534184,95.798610632075,-122.55623222543643,2.7233232092112303,294.764955791
