,rxns,ks
0,[OH]+[OH]+->[OH][OH]+++,13630438562.14197
1,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++,415245.90853955556
2,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,13633536926.668318
3,[OH]+[O][OH]+->[OH2]+[O][O]++,12742308272.274084
4,[OH]+[OH][OH]+->[OH2]+[O][OH]++,51883579.83074064
5,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++,244137255.20735532
6,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++,14176868064.696646
7,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++,190576048.09079152
8,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++,21360700.624079447
9,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++,11439154431.52232
10,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++,14061003796.878529
11,[CH]([OH])[OH]+[O][O]+->[CH]([OH])=[O]+[O][OH]++,14126055314.19909
12,[CH]([OH])=[O]+[OH]+->[C]([OH])=[O]+[OH2]++,28000789.75587511
13,[C]([OH])=[O]+[O][O]+->[O]=[C]=[O]+[O][OH]++,485015705.8075617
14,[CH]([O-])=[O]+[OH]+->[C]([O-])=[O]+[OH2]++,3520580960.3186564
15,[C]([O-])=[O]+[O][O]+->[O]=[C]=[O]+[O][O-]++,13691262322.511475
16,[OH][CH]([OH])[C](=[O])[OH]++->[O]=[CH][C](=[O])[OH]+[OH2]++,0.0
17,[OH][CH]([OH])[C](=[O])[O-]++->[O]=[CH][C](=[O])[O-]+[OH2]++,0.0
18,[O]=[CH][C](=[O])[O-]+[OH][OH]+->[CH]([O-])=[O]+[O]=[C]=[O]+[OH2]+,0.0
19,[OH][C](=[O])[C](=[O])[OH]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH2]+,161924.18188441178
20,[O-][C](=[O])[C](=[O])[O-]+[OH]+->[C]([O-])=[O]+[O]=[C]=[O]+[OH-]+,0.0
21,[OH][C](=[O])[C](=[O])[O-]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH-]+,0.0
22,[O]=[C]=[O]+[OH2]+[OH2]->[O-][C](=[O])[OH]+[OH3+]++,0.0
23,[O-][C](=[O])[OH]+[OH]+->[O-][C](=[O])[O]+[OH2]++,22250.496857060232
24,[O-][C](=[O])[O]+[OH][OH]+->[O-][C](=[O])[OH]+[O][OH]++,0.0
25,[OH][CH]([OH])[CH]([OH])[OH]++->[OH][CH]([OH])[CH]=[O]+[OH2]++,0.0
26,[OH][CH]([OH])[CH]=[O]+[O][O-]+[OH2]->[OH][CH]([OH])[CH]([O][O])[OH]+[OH-]++,0.0
27,[OH][CH]([OH])[CH]([O][O])[OH]+[OH][CH]([OH])[CH]([O][O])[OH]+->[OH][CH]([OH])[CH]([O])[OH]+[OH][CH]([OH])[CH]([O])[OH]+[O][O]+,0.0
28,[OH][CH]([OH])[CH]([O])[OH]++->[CH]([OH])=[O]+[CH]([OH])[OH]++,645876.2658823318
29,[OH][CH]([OH])[C](=[O])[OH]+[OH2]+->[OH][CH]([OH])[C](=[O])[O-]+[OH3+]++,466.62715039849576
30,[OH][C](=[O])[C](=[O])[OH]+[OH2]+->[OH][C](=[O])[C](=[O])[O-]+[OH3+]++,32282.711451732783
31,[OH][C](=[O])[C](=[O])[O-]+[OH2]+->[O-][C](=[O])[C](=[O])[O-]+[OH3+]++,19.452257249714023
32,[CH]([OH])=[O]+[OH2]+->[CH]([O-])=[O]+[OH3+]++,82.97934537187808
33,[O-][C](=[O])[OH]+[OH2]+->[O-][C](=[O])[O-]+[OH3+]++,0.0001733684252262655
34,[OH2]+[OH2]+->[OH-]+[OH3+]++,0.00883340282272272
35,[O][OH]+[OH2]+->[O][O-]+[OH3+]++,16942.207806960138
36,[OH]+[OH]+->[OH][OH]+++,0.0
37,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++,1.3989121440242498e-14
38,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,0.0
39,[OH]+[O][OH]+->[OH2]+[O][O]++,1.4920679473682696e-31
40,[OH]+[OH][OH]+->[OH2]+[O][OH]++,1.2623090535971396e-15
41,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++,3.5757364454854745e-09
42,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++,0.0
43,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++,4.598148542229032e-18
44,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++,6.830492187309431e-11
45,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++,4.6617898023564526e-15
46,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++,0.0
47,[CH]([OH])[OH]+[O][O]+->[CH]([OH])=[O]+[O][OH]++,0.0
48,[CH]([OH])=[O]+[OH]+->[C]([OH])=[O]+[OH2]++,3.143664626089988e-05
49,[C]([OH])=[O]+[O][O]+->[O]=[C]=[O]+[O][OH]++,5.360336969408448e-26
50,[CH]([O-])=[O]+[OH]+->[C]([O-])=[O]+[OH2]++,5.001431811196625e-12
51,[C]([O-])=[O]+[O][O]+->[O]=[C]=[O]+[O][O-]++,0.0
52,[OH][CH]([OH])[C](=[O])[OH]++->[O]=[CH][C](=[O])[OH]+[OH2]++,0.0
53,[OH][CH]([OH])[C](=[O])[O-]++->[O]=[CH][C](=[O])[O-]+[OH2]++,0.0
54,[O]=[CH][C](=[O])[O-]+[OH][OH]+->[CH]([O-])=[O]+[O]=[C]=[O]+[OH2]+,0.0
55,[OH][C](=[O])[C](=[O])[OH]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH2]+,2.6259736836999944e-16
56,[O-][C](=[O])[C](=[O])[O-]+[OH]+->[C]([O-])=[O]+[O]=[C]=[O]+[OH-]+,0.0
57,[OH][C](=[O])[C](=[O])[O-]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH-]+,0.0
58,[O]=[C]=[O]+[OH2]+[OH2]->[O-][C](=[O])[OH]+[OH3+]++,0.0
59,[O-][C](=[O])[OH]+[OH]+->[O-][C](=[O])[O]+[OH2]++,1.906396529171973e-09
60,[O-][C](=[O])[O]+[OH][OH]+->[O-][C](=[O])[OH]+[O][OH]++,0.0
61,[OH][CH]([OH])[CH]([OH])[OH]++->[OH][CH]([OH])[CH]=[O]+[OH2]++,0.0
62,[OH][CH]([OH])[CH]=[O]+[O][O-]+[OH2]->[OH][CH]([OH])[CH]([O][O])[OH]+[OH-]++,0.0
63,[OH][CH]([OH])[CH]([O][O])[OH]+[OH][CH]([OH])[CH]([O][O])[OH]+->[OH][CH]([OH])[CH]([O])[OH]+[OH][CH]([OH])[CH]([O])[OH]+[O][O]+,0.0
64,[OH][CH]([OH])[CH]([O])[OH]++->[CH]([OH])=[O]+[CH]([OH])[OH]++,183.1443102356042
65,[OH][CH]([OH])[C](=[O])[OH]+[OH2]+->[OH][CH]([OH])[C](=[O])[O-]+[OH3+]++,500000.0
66,[OH][C](=[O])[C](=[O])[OH]+[OH2]+->[OH][C](=[O])[C](=[O])[O-]+[OH3+]++,500000.0
67,[OH][C](=[O])[C](=[O])[O-]+[OH2]+->[O-][C](=[O])[C](=[O])[O-]+[OH3+]++,500000.0
68,[CH]([OH])=[O]+[OH2]+->[CH]([O-])=[O]+[OH3+]++,500000.0
69,[O-][C](=[O])[OH]+[OH2]+->[O-][C](=[O])[O-]+[OH3+]++,500000.0
70,[OH2]+[OH2]+->[OH-]+[OH3+]++,140000000000.0
71,[O][OH]+[OH2]+->[O][O-]+[OH3+]++,500000000.0
