,s_rxns,delG_TS,delG_rxn,ks_f0,ks_f_smd,ks_r,Ks_eq,delG_TS_r,delH_TS,delH_rxn,delH_TS_r,delS_TS,delS_rxn,delS_TS_r
0,[OH]+[OH]+->[OH][OH]+++,0.0,-170.43101964506786,6563535172432.528,11104987352.347721,0.0,1.8249783686580308e+28,0.0,-394758.2383592988,-204.5008831784362,-394553.73747612035,-1253200.7566961865,-108.15829693132804,-1252551.547543239
1,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++,43.98633269092534,-121.3448555652285,333598.81289098697,333588.7917337011,2.5208423610567795e-15,1.323362452347627e+20,165.33118825615384,5.326481608324684,-127.26357995322905,132.59006156155374,-122.72968597651001,-18.789601231747795,-103.94008474476222
2,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,0.0,-18.05662643618416,6563535172432.528,11107511651.086987,0.0,986.7126493210131,0.0,294897.86067020625,-23.06191844213754,294920.9225886484,936183.6846673215,-15.889815891915488,936256.8971068203
3,[OH]+[O][OH]+->[OH2]+[O][O]++,9.446216668467969,-262.00324253190774,178133160042.25626,10501672052.690414,6.379308891919439e-33,2.7923582798741193e+43,271.4494592003757,-11.120609373203479,-266.14146634202916,255.02085696882568,-65.29151124340142,-13.137218444829896,-52.154292798571525
4,[OH]+[OH][OH]+->[OH2]+[O][OH]++,31.230483955238014,-140.65838696656283,43493887.537913665,43325501.08871326,2.0612748045877058e-16,2.1100479878331056e+23,171.88887092180084,2.063760679331608,-138.8778863886837,140.9416470680153,-92.59277230446477,5.652382786917899,-98.24515509138268
5,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++,26.885780309792608,-104.57571368361823,228495066.14826915,224165495.7914907,1.0420657193125485e-09,2.1927126275587414e+17,131.46149399341084,-6.199622248997912,-97.87704533012584,91.67742308112793,-105.03302399616038,21.265613820610778,-126.29863781677115
6,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++,0.0,-177.5816574981436,6563535172432.528,11550174254.233124,0.0,2.7989341877616085e+29,0.0,599968.356482258,-179.58174631278962,600147.9382285707,1904661.4491500251,-6.34948830046351,1905231.5499319707
7,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++,27.669327883515507,-159.21246616216376,169413179.5485003,167005570.9755106,6.729385715089821e-19,2.5175132875592904e+26,186.88179404567927,-2.136786558665335,-152.44115236890502,150.3043658102397,-94.62258553073283,21.496234264313465,-116.11881979504629
8,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++,33.35879578907043,-108.86794359376654,19297752.763081733,19265368.51380172,1.709140377857395e-11,1.1290911509137551e+18,142.22673938283697,-4.515659593278542,-109.07660712231882,104.56094752904028,-120.23636629317133,-0.6624239001659646,-119.57394239300537
9,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++,12.204319138079882,-155.86689614481293,62142679200.84105,9867017368.408466,8.854992552025852e-16,7.017812701222876e+25,168.0712152828928,-22.617034938419238,-150.73262524139136,128.11559030297212,-110.5439811952353,16.299272709274813,-126.84325390451012
10,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++,0.0,-136.48521868139505,6563535172432.528,11455777348.158297,0.0,4.288329174711323e+22,0.0,-39.73960658535361,-135.4998671298381,95.76026054448448,-126.1574812233448,3.128100163672888,304.00082712534754
11,[CH]([OH])[OH]+[O][O]+->[CH]([OH])=[O]+[O][OH]++,0.0,-187.03644819557667,6563535172432.528,11508776103.392946,0.0,1.0346834354440382e+31,0.0,101779.16357058974,-185.99990049691405,101965.16347108665,323108.45577964996,3.2906276148019566,323698.9316542433
12,[CH]([OH])=[O]+[OH]+->[C]([OH])=[O]+[OH2]++,32.927594335982576,-74.21966572559904,22751474.06148736,22705826.710774325,1.1213377784373667e-05,2028958133667.1414,107.14726006158162,4.55885395698715,-69.8993601158727,74.45821407285985,-90.05949326665215,13.715255903893166,-103.77474917054532
13,[C]([OH])=[O]+[O][O]+->[O]=[C]=[O]+[O][OH]++,25.055313271004707,-211.48088413488586,459630688.0655562,441470527.6277609,3.927984672514206e-27,1.1701437922652618e+35,236.53619740589056,-5.654929864220321,-214.78515620506369,209.13022634084336,-97.49283534992071,-10.489752603739145,-87.00308274618159
14,[CH]([O-])=[O]+[OH]+->[C]([O-])=[O]+[OH2]++,19.00781934009865,-130.38798567140475,4626133477.095075,3280995255.696863,1.106590743692276e-12,4.1805278992840623e+21,149.3958050115034,-11.55624874169007,-126.66980527248234,115.11355653079227,-97.02878756123403,11.803747298166392,-108.83253485940043
15,[C]([O-])=[O]+[O][O]+->[O]=[C]=[O]+[O][O-]++,0.0,-145.49905914231203,6563535172432.528,11154541670.541237,0.0,1.3396259668486206e+24,0.0,97617.78809022007,-154.71063598408364,97772.49872620415,309897.7399689526,-29.243101084989213,310388.88484509254
16,[OH][CH]([OH])[C](=[O])[OH]++->[O]=[CH][C](=[O])[OH]+[OH2]++,0.0,2.957804415607825,6563535172432.528,0.0,0.0,0.3232437765238846,0.0,-193255.25754389318,46.95660666155163,-193302.21415055473,-613508.7541075974,139.6787372887105,-613657.8227001737
17,[OH][CH]([OH])[C](=[O])[O-]++->[O]=[CH][C](=[O])[O-]+[OH2]++,0.0,-16.691404065815732,6563535172432.528,0.0,0.0,585.8769741631462,0.0,-194406.09725884034,26.758917248691432,-194432.85617608903,-617162.213520128,137.93752798256241,-617247.1624637747
18,[O]=[CH][C](=[O])[O-]+[OH][OH]+->[CH]([O-])=[O]+[O]=[C]=[O]+[OH2]+,0.0,-395.30576970544644,6563535172432.528,0.0,0.0,3.552205974496563e+65,0.0,2810.048357975669,-363.3179789832793,3173.3663369589485,8920.788438017997,101.54854197513372,10074.178847488725
19,[OH][C](=[O])[C](=[O])[OH]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH2]+,46.56272985669784,-128.30131565546617,124738.49006701306,124737.15811968758,6.618898254364493e-17,1.8845808663815177e+21,174.864045512164,8.961233315058053,-84.42528576310724,93.38651907816529,-119.36983029091996,139.28898378526645,-258.6588140761864
20,[O-][C](=[O])[C](=[O])[O-]+[OH]+->[C]([O-])=[O]+[O]=[C]=[O]+[OH-]+,0.0,-52.33014181838371,6563535172432.528,0.0,0.0,475885694.13291675,0.0,397420.1253850522,-15.22806924697943,397435.35345429915,1261651.1916985782,117.78435736953739,1261699.5347755528
21,[OH][C](=[O])[C](=[O])[O-]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH-]+,0.0,10.809232392115518,6563535172432.528,0.0,0.0,0.016128300283821215,0.0,398579.4683209165,48.920390259474516,398530.54793065705,1265331.645463227,120.98780275352063,1265176.3426370064
22,[O]=[C]=[O]+[OH2]+[OH2]->[O-][C](=[O])[OH]+[OH3+]++,0.0,127.5143739284249,6563535172432.528,0.0,0.0,7.166014492513985e-22,0.0,103966.72154966567,92.3328744842438,103874.38867518143,330053.0842846529,-111.68729982279714,329759.964048195
23,[O-][C](=[O])[OH]+[OH]+->[O-][C](=[O])[O]+[OH2]++,52.06504249793943,-80.92924654239323,15261.405689746129,15261.385243930281,5.803948665979238e-10,26294866767521.938,132.99428904033266,18.81267938564997,-69.14243442355655,87.95511380920652,-105.56305749933162,37.41845117091009,-142.9815086702417
24,[O-][C](=[O])[O]+[OH][OH]+->[O-][C](=[O])[OH]+[O][OH]++,0.0,-59.7291404241696,6563535172432.528,0.0,0.0,8024562385.078627,0.0,298347.86386167107,-69.73545196512714,298417.5993136362,947136.0757513368,-31.766068383992195,947357.4581385276
25,[OH][CH]([OH])[CH]([OH])[OH]++->[OH][CH]([OH])[CH]=[O]+[OH2]++,0.0,-6.964931922731921,6563535172432.528,0.0,0.0,14.286991544713755,0.0,-190210.63607091154,35.56246849731542,-190246.19853940886,-603843.2891140048,135.00762038110267,-603956.1858393933
26,[OH][CH]([OH])[CH]=[O]+[O][O-]+[OH2]->[OH][CH]([OH])[CH]([O][O])[OH]+[OH-]++,0.0,90.36240628291853,6563535172432.528,0.0,0.0,1.0372921950264041e-15,0.0,602001.7282364763,46.24980756803416,601955.4784289083,1911116.5975761153,-140.03999592026784,1910969.7727901852
