,rxns,ks
0,[OH]+[OH]+->[OH][OH]+++,11104987352.347721
1,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++,333588.7917337011
2,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,11107511651.086987
3,[OH]+[O][OH]+->[OH2]+[O][O]++,10501672052.690414
4,[OH]+[OH][OH]+->[OH2]+[O][OH]++,43325501.08871326
5,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++,224165495.7914907
6,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++,11550174254.233124
7,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++,167005570.9755106
8,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++,19265368.51380172
9,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++,9867017368.408466
10,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++,11455777348.158297
11,[CH]([OH])[OH]+[O][O]+->[CH]([OH])=[O]+[O][OH]++,11508776103.392946
12,[CH]([OH])=[O]+[OH]+->[C]([OH])=[O]+[OH2]++,22705826.710774325
13,[C]([OH])=[O]+[O][O]+->[O]=[C]=[O]+[O][OH]++,441470527.6277609
14,[CH]([O-])=[O]+[OH]+->[C]([O-])=[O]+[OH2]++,3280995255.696863
15,[C]([O-])=[O]+[O][O]+->[O]=[C]=[O]+[O][O-]++,11154541670.541237
16,[OH][CH]([OH])[C](=[O])[OH]++->[O]=[CH][C](=[O])[OH]+[OH2]++,0.0
17,[OH][CH]([OH])[C](=[O])[O-]++->[O]=[CH][C](=[O])[O-]+[OH2]++,0.0
18,[O]=[CH][C](=[O])[O-]+[OH][OH]+->[CH]([O-])=[O]+[O]=[C]=[O]+[OH2]+,0.0
19,[OH][C](=[O])[C](=[O])[OH]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH2]+,124737.15811968758
20,[O-][C](=[O])[C](=[O])[O-]+[OH]+->[C]([O-])=[O]+[O]=[C]=[O]+[OH-]+,0.0
21,[OH][C](=[O])[C](=[O])[O-]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH-]+,0.0
22,[O]=[C]=[O]+[OH2]+[OH2]->[O-][C](=[O])[OH]+[OH3+]++,0.0
23,[O-][C](=[O])[OH]+[OH]+->[O-][C](=[O])[O]+[OH2]++,15261.385243930281
24,[O-][C](=[O])[O]+[OH][OH]+->[O-][C](=[O])[OH]+[O][OH]++,0.0
25,[OH][CH]([OH])[CH]([OH])[OH]++->[OH][CH]([OH])[CH]=[O]+[OH2]++,0.0
26,[OH][CH]([OH])[CH]=[O]+[O][O-]+[OH2]->[OH][CH]([OH])[CH]([O][O])[OH]+[OH-]++,0.0
27,[OH][CH]([OH])[CH]([O][O])[OH]+[OH][CH]([OH])[CH]([O][O])[OH]+->[OH][CH]([OH])[CH]([O])[OH]+[OH][CH]([OH])[CH]([O])[OH]+[O][O]+,0.0
28,[OH][CH]([OH])[CH]([O])[OH]++->[CH]([OH])=[O]+[CH]([OH])[OH]++,435942.5507761814
29,[OH][CH]([OH])[C](=[O])[OH]+[OH2]+->[OH][CH]([OH])[C](=[O])[O-]+[OH3+]++,379.2887875145918
30,[OH][C](=[O])[C](=[O])[OH]+[OH2]+->[OH][C](=[O])[C](=[O])[O-]+[OH3+]++,29442.18276777945
31,[OH][C](=[O])[C](=[O])[O-]+[OH2]+->[O-][C](=[O])[C](=[O])[O-]+[OH3+]++,22.334179607548172
32,[CH]([OH])=[O]+[OH2]+->[CH]([O-])=[O]+[OH3+]++,84.91218262308722
33,[O-][C](=[O])[OH]+[OH2]+->[O-][C](=[O])[O-]+[OH3+]++,8.689004143746882e-05
34,[OH2]+[OH2]+->[OH-]+[OH3+]++,0.004530311197014793
35,[O][OH]+[OH2]+->[O][O-]+[OH3+]++,11994.16459509745
36,[OH]+[OH]+->[OH][OH]+++,0.0
37,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++,2.5208423610567795e-15
38,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,0.0
39,[OH]+[O][OH]+->[OH2]+[O][O]++,6.379308891919439e-33
40,[OH]+[OH][OH]+->[OH2]+[O][OH]++,2.0612748045877058e-16
41,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++,1.0420657193125485e-09
42,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++,0.0
43,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++,6.729385715089821e-19
44,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++,1.709140377857395e-11
45,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++,8.854992552025852e-16
46,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++,0.0
47,[CH]([OH])[OH]+[O][O]+->[CH]([OH])=[O]+[O][OH]++,0.0
48,[CH]([OH])=[O]+[OH]+->[C]([OH])=[O]+[OH2]++,1.1213377784373667e-05
49,[C]([OH])=[O]+[O][O]+->[O]=[C]=[O]+[O][OH]++,3.927984672514206e-27
50,[CH]([O-])=[O]+[OH]+->[C]([O-])=[O]+[OH2]++,1.106590743692276e-12
51,[C]([O-])=[O]+[O][O]+->[O]=[C]=[O]+[O][O-]++,0.0
52,[OH][CH]([OH])[C](=[O])[OH]++->[O]=[CH][C](=[O])[OH]+[OH2]++,0.0
53,[OH][CH]([OH])[C](=[O])[O-]++->[O]=[CH][C](=[O])[O-]+[OH2]++,0.0
54,[O]=[CH][C](=[O])[O-]+[OH][OH]+->[CH]([O-])=[O]+[O]=[C]=[O]+[OH2]+,0.0
55,[OH][C](=[O])[C](=[O])[OH]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH2]+,6.618898254364493e-17
56,[O-][C](=[O])[C](=[O])[O-]+[OH]+->[C]([O-])=[O]+[O]=[C]=[O]+[OH-]+,0.0
57,[OH][C](=[O])[C](=[O])[O-]+[OH]+->[C]([OH])=[O]+[O]=[C]=[O]+[OH-]+,0.0
58,[O]=[C]=[O]+[OH2]+[OH2]->[O-][C](=[O])[OH]+[OH3+]++,0.0
59,[O-][C](=[O])[OH]+[OH]+->[O-][C](=[O])[O]+[OH2]++,5.803948665979238e-10
60,[O-][C](=[O])[O]+[OH][OH]+->[O-][C](=[O])[OH]+[O][OH]++,0.0
61,[OH][CH]([OH])[CH]([OH])[OH]++->[OH][CH]([OH])[CH]=[O]+[OH2]++,0.0
