,species
0,[OH][CH]([OH])[C](=[O])[OH]
1,[O-][C](=[O])[C](=[O])[O-]
2,[OH2]
3,[CH]([O-])=[O]
4,[OH][CH]([OH])[CH]([OH])[OH]
5,[OH][CH]([OH])[CH]([O][O])[OH]
6,[O-][C](=[O])[O-]
7,[C]([O-])=[O]
8,[OH][CH]([OH])[C]([OH])[OH]
9,[OH]
10,[OH][OH]
11,[O]=[CH][C](=[O])[O-]
12,[O][OH]
13,[O]=[CH][C](=[O])[OH]
14,[OH3+]
15,[O-][C](=[O])[OH]
16,[OH][CH]([OH])[C](=[O])[O-]
17,[C]([OH])=[O]
18,[OH][C](=[O])[C](=[O])[OH]
19,[OH][C]([OH])[C](=[O])[O-]
20,[OH-]
21,[OH][CH]([OH])[CH]([O])[OH]
22,[O][O-]
23,[OH][CH]([OH])[CH]=[O]
24,[O][O]
25,[O]=[C]=[O]
26,[OH][C]([OH])[C](=[O])[OH]
27,[CH]([OH])=[O]
28,[O-][C](=[O])[O]
29,[OH][C](=[O])[C](=[O])[O-]
30,[CH]([OH])[OH]
