,,Calc,Smiles,Atoms,G_cds,E,vib_0,n_imag,m_red,S_vib,H_vib,ZPE,H_rot,H_trans,S_rot,S_trans,S_elec,G,H_tot,S_tot
0,,formate ion,[CH]([O-])=[O],,17.3213238,-497087.0695,744.35,0,11.6061,1.903264148,0.479544007,53.94474573,3.928554,6.54759,87.14806522,131.3387651,0,-497091.592,-497022.1691,220.3900944
1,,oxalate ion,[O-][C](=[O])[C](=[O])[O-],,22.7505828,-991089.2319,26.3,0,15.9919,34.2292598,6.208759465,61.66862082,3.928554,6.54759,110.0439309,139.7009125,0,-991100.3302,-991010.8783,283.9741032
2,,O2,[O][O],,0,-394707.0087,1704.69,0,15.9949,0.030358576,0.008474887,10.19647695,2.619036,6.54759,44.14487896,127.0835482,9.134302013,-394744.461,-394687.6371,180.3930877
3,,hydronium,[OH3+],,9.20735376,-201774.0557,1015.06,0,1.1638,0.526754933,0.137927698,92.35524983,3.928554,6.54759,56.74048723,120.5981815,0,-201727.114,-201671.0864,177.8654237
4,,water,[OH2],,6.05440836,-200692.7711,1590.3,0,1.0817,0.048166589,0.013337378,55.65615131,3.928554,6.54759,50.30262624,119.9191263,0,-200680.2605,-200626.6255,170.2699192
5,,hydrogen peroxide,[OH][OH],,5.69831592,-397951.5868,364.88,0,1.086,5.617700711,1.187794436,70.39288941,3.928554,6.54759,75.76519029,127.8456123,0,-397935.437,-397869.53,209.2285033
6,,OOH,[O][OH],,2.90941332,-396262.8077,1261.04,0,12.5208,0.261621332,0.070679551,37.96387103,3.928554,6.54759,70.82814921,127.4704,5.763102918,-396278.6588,-396214.297,204.3232735
7,,CO2,[O]=[C]=[O],,23.20124268,-495173.9315,672.7,0,12.8774,1.74544084,0.420927821,26.29614276,2.619036,6.54759,60.89015227,131.0562581,0,-495199.0607,-495138.0478,193.6918512
8,,formic acid,[CH]([OH])=[O],,18.00589164,-498274.0223,628.9,0,1.2538,4.713059594,1.139557335,88.27256776,3.928554,6.54759,88.6202053,131.6150142,0,-498244.9927,-498174.134,224.948279
9,,oxalic acid,[OH][C](=[O])[C](=[O])[OH],,24.48125064,-993442.7752,44.79,0,11.7956,40.72366863,7.678933754,128.2738321,3.928554,6.54759,110.5522636,139.9834194,0,-993388.093,-993296.3463,291.2593517
10,,OH,[OH],,3.09059784,-198865.2828,3726.88,0,1.0671,6.06E-06,1.80E-06,22.29205662,2.619036,6.54759,28.7527202,119.200958,11.52620584,-198884.0603,-198833.8241,159.4798901
