,Calc,Smiles,path_l_geom,path_l_freq,volumes,radii
0,formate ion,[CH]([O-])=[O],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/formate,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/formate/freq,36.80487800000001,2.0635053113220385
1,oxalate ion,[O-][C](=[O])[C](=[O])[O-],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/oxalic_acid_frag/oxalate,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/oxalic_acid_frag/oxalate/freq,62.24068500000001,2.4584530461165044
2,O2,[O][O],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/geom_compile/O2/geom,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/geom_compile/O2/freq,23.171194000000003,1.7685605556432413
3,hydronium,[OH3+],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/hydronium,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/hydronium/freq,22.010303000000004,1.7385177827524714
4,water,[OH2],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/general/H2O/SMD,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/general/H2O/SMD/freq,19.551964,1.6712211629082556
5,hydrogen peroxide,[OH][OH],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/geom_compile/H2O2/geom,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/geom_compile/H2O2/freq,29.173266000000005,1.9097014632637197
6,glyoxal hydrate peroxyl rad,[OH][CH]([OH])[C]([O][O])([OH])[OH],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_hydrate_rxn/glyoxal_dihydrate_peroxyl_rad,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_hydrate_rxn/glyoxal_dihydrate_peroxyl_rad/freq,93.79986300000002,2.8186286689059674
7,OOH,[O][OH],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/geom_compile/OOH/geom,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/geom_compile/OOH/freq,26.220384000000003,1.8429638340434658
8,CO2,[O]=[C]=[O],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/CO2,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/CO2/freq,33.543677,2.00066336378674
9,formic acid,[CH]([OH])=[O],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/glyoxal_ROO_reactions/formic_acid,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/glyoxal_ROO_reactions/formic_acid/freq,39.355445,2.110111508073935
10,oxalic acid,[OH][C](=[O])[C](=[O])[OH],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/glyoxal_to_oxalic_acid/geom_compile/oxalic_acid_trans/geom,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/glyoxal_to_oxalic_acid/geom_compile/oxalic_acid_trans/freq,66.824892,2.517386421965672
11,gloxylate hydrate peroxyl rad,[OH][C]([O][O])([OH])[C](=[O])[O-],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_17_june/glyoxylate_hydrate_peroxyl_rad,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_17_june/glyoxylate_hydrate_peroxyl_rad/freq,84.59175800000001,2.723201726696748
12,OH,[OH],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OH_initiators/geom_compile/OH/geom,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OH_initiators/geom_compile/OH/freq,17.222491,1.602024372838879
13,glyoxylate hydrate,[OH][CH]([OH])[C](=[O])[O-],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxylic_acid_hydrate_rxn/glyoxylate_hydrate,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxylic_acid_hydrate_rxn/glyoxylate_hydrate/freq,70.52545100000002,2.5630225129065582
14,formic acid rad,[C]([OH])=[O],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/carboxy_rad,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/carboxy_rad/freq,37.109221000000005,2.069177478579289
15,glyoxylate hydrate rad,[OH][C]([OH])[C](=[O])[O-],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_17_june/glyoxylate_rad_hydrate_v2,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_17_june/glyoxylate_rad_hydrate_v2/freq,66.93776600000001,2.5188029980939497
16,glyoxylic acid hydrate rad,[OH][C]([OH])[C](=[O])[OH],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/rcts2,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/rcts2/freq,69.38759100000001,2.5491637470781963
17,glyoxal dihydrate rad,[OH][CH]([OH])[C]([OH])[OH],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_hydrate_rxn/glyoxal_dihydrate_rad,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_hydrate_rxn/glyoxal_dihydrate_rad/freq,76.42864900000001,2.6326261519086005
18,glyoxal dihydrate,[OH][CH]([OH])[CH]([OH])[OH],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_hydrate_rxn/glyoxal_dihydrate,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxal_hydrate_rxn/glyoxal_dihydrate/freq,78.53423300000001,2.6565834684291105
19,hydrogen oxalate,[OH][C](=[O])[C](=[O])[O-],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/hydrogen_oxalate,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/hydrogen_oxalate/freq,64.59312700000001,2.489043959017081
20,glyoxylic acid hydrate peroxyl rad,[OH][C]([O][O])([OH])[C](=[O])[OH],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/glyoxylic_acid_peroxy_rad,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/glyoxylic_acid_peroxy_rad/freq,86.94819800000002,2.7482568901457585
21,glyoxylic acid hydrate,[OH][CH]([OH])[C](=[O])[OH],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxylic_acid_hydrate_rxn/glyoxylic_acid_hydrate,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxylic_acid_hydrate_rxn/glyoxylic_acid_hydrate/freq,72.25499500000001,2.5838051250736296
22,methandiol rad,[CH]([OH])[OH],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxylic_acid_hydrate_rxn/glyoxylic_acid_hydrate,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyoxylic_acid_hydrate_rxn/glyoxylic_acid_hydrate/freq,72.25499500000001,2.5838051250736296
23,hydroxyl ion,[OH-],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/OH_minus,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/OH_minus/freq,17.238925000000002,1.6025337706736353
24,carboxylate,[C]([O-])=[O],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/formate_rad,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/formate_rad/freq,34.58490200000001,2.0211535714416913
25,superoxide,[O][O-],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/superoxide_t2,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/superoxide_t2/freq,23.952658000000003,1.7882231028893827
26,dihydroxylmethyl peroxyl,[CH]([OH])([OH])[O][O],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/dihydroxymethyl_peroxy_rad,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/dihydroxymethyl_peroxy_rad/freq,60.30607700000001,2.432712702684966
27,carboxy peroxyl rad,[C]([OH])(=[O])[O][O],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/carboxy_peroxy_rad,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/C1_radical_reactions/carboxy_peroxy_rad/freq,53.810643000000006,2.342033974121204
28,glyoxylate O rad,[HO][CH]([O])[C](=[O])[O-],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/TS/H2O2/geom,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/TS/H2O2/freq,49.18979000000001,2.2729791557198062
29,glyoxylic acid O rad,[HO][CH]([O])[C](=[O])[OH],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/TS/H2O2/geom,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/OOH_reactions/TS/H2O2/freq,49.18979000000001,2.2729791557198062
30,bicarbonate,[O-][C](=[O])[OH],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/misc/bicarbonate,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/misc/bicarbonate/freq,44.97043200000001,2.206037124605201
31,carbonate radical,[O-][C](=[O])[O],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/misc/carbonate_radical,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/misc/carbonate_radical/freq,42.10684200000001,2.15818177346993
32,carbonate,[O-][C](=[O])[O-],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/misc/carbonate,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/misc/carbonate/freq,42.735479000000005,2.1688690045481542
33,gloxylate dehydrate,[O]=[CH][C](=[O])[O-],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/glyoxylic_acid_anion,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/glyoxylic_acid_anion/freq,56.60785200000001,2.381931980898363
34,gloxylic acid  dehydrate,[O]=[CH][C](=[O])[OH],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/glyoxylic_acid,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/Glyoxylic_acid_OH_ox_4May/glyoxylic_acid/freq,58.94714000000001,2.414300790092758
35,glyoxylate OOH adduct,[HO][CH]([O][O])[C](=[O])[O-],/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyox_dehydrate_routes/glyoxylate_OOH_add,/Users/arifischer/Documents/NTU_research/QChem/glyoxal/glyox_dehydrate_routes/glyoxylate_OOH_add/freq,77.17567500000001,2.6411755957677854
36,glyoxylic_acid_OOH_ad,[HO][CH]([O][O])[C](=[O])[OH],/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/glyoxal_to_oxalic_acid/geom_compile/glyoxalic_acid_OOH_ad/geom,/Users/arifischer/Documents/NTU_research/QChem/benzyl_alcohol/fragmentation/glyoxal_to_oxalic_acid/geom_compile/glyoxalic_acid_OOH_ad/freq,79.33205900000002,2.6655492159850738
