,s_rxns,delG_TS,delG_rxn,ks_f0,ks_f_smd,ks_D_smd,ks_r,Ks_eq,delG_TS_r,delH_TS,delH_rxn,delH_TS_r,delS_TS,delS_rxn,delS_TS_r
0,[OH]+[OH]+->[OH][OH]+++,0.0,-171.70865325961495,6209312639317.121,7423682993.391912,7423682993.391912,0.0,1.2514779443708753e+30,0.0,-394758.3050251769,-204.0909375002957,-394554.2140876766,-1324692.2987422044,-108.66538335798909,-1324007.4298244182
1,[O][OH]+[O][OH]+->[OH][OH]+[O][O]++,42.44899418449495,-121.6675145648187,225165.6473149798,225158.81808600164,7423682993.391913,1.0626396779201553e-16,2.118927534831794e+21,164.11650874931365,5.3010776387527585,-127.380796168698,132.68187380745076,-124.65743807296037,-19.172085919058038,-105.48535215390234
2,[O][OH]+[O][O-]+[OH2]->[OH][OH]+[O][O]+[OH-]+,0.0,-18.330077134654857,6209312639317.121,7425370486.860059,7425370486.860059,0.0,1632.793251654204,0.0,294898.3213119438,-23.182235429412685,294921.5035473732,989591.682254845,-16.28241038509338,989669.4749911854
3,[OH]+[O][OH]+->[OH2]+[O][O]++,8.886899983743206,-262.22620478644967,171921659652.56638,7149918796.189592,7460174295.8669615,1.869893019433683e-35,9.19419762873033e+45,271.1131047701929,-11.091538991080597,-266.12840086978395,255.03686187870335,-67.04174152625437,-13.094617729309647,-53.94712379694472
4,[OH]+[OH][OH]+->[OH2]+[O][OH]++,30.209142888779752,-140.55869022174738,31472179.78532582,31340334.556251325,7481109863.514851,7.253190655461195e-18,4.3390807274077644e+24,170.76783311052714,2.17098495492246,-138.74760470108595,140.9185896560084,-94.08777830153453,6.077468190139046,-100.16524649167359
5,[OH][CH]([OH])[CH]([OH])[OH]+[OH]+->[OH][CH]([OH])[C]([OH])[OH]+[OH2]++,25.652232074411586,-104.21500560035929,198002612.68627855,193166454.6014552,7908646083.026207,1.070691057363534e-10,1.849297342352323e+18,129.86723767477088,-6.119015890639275,-97.90686329943128,91.787847408792,-106.61492605721766,21.168262754791986,-127.78318881200964
6,[OH][CH]([OH])[C]([OH])[OH]+[O][O]+->[OH][CH]([OH])[C]([O][O])([OH])[OH]+++,0.0,-126.95610646600835,6209312639317.121,7721290395.142696,7721290395.142696,0.0,1.7910622110963389e+22,0.0,599969.7023562677,-171.29218140919693,600140.9945376769,2013321.1488465362,-148.77877497714286,2013895.9548244192
7,[OH][CH]([OH])[C]([O][O])([OH])[OH]++->[OH][CH]([OH])[C](=[O])[OH]+[O][OH]++,23.278622477082536,-50.726404649904,516085644.8991823,516085644.8991823,7429471528.336077,0.6626740255147554,778792626.5138613,74.00502712698653,21.076555258361623,-8.031627173069865,29.108182431431487,-7.389487311144003,143.27106535850382,-150.6605526696478
8,[OH][CH]([OH])[C](=[O])[OH]+[OH]+->[OH][C]([OH])[C](=[O])[OH]+[OH2]++,26.61185692762956,-158.84859014628455,134420661.97431797,132159299.72623585,7855857932.681741,1.9283214917360186e-20,6.970863652683968e+27,185.4604470739141,-2.0892741940915585,-152.49898494267836,150.4097107485868,-96.31252054268832,21.307400012101304,-117.61992055478962
9,[OH][C]([OH])[C](=[O])[OH]+[O][O]+->[OH][C]([O][O])([OH])[C](=[O])[OH]+++,31.86573789967224,-61.13607441401109,16127077.08573679,16093259.072521642,7674526234.64657,0.0003101036520712261,52005440690.62648,93.00181231368333,-4.473795462865382,-103.66664352850057,99.19284806563519,-121.94474282730745,-142.72003058553517,20.775287758227712
10,[OH][C]([O][O])([OH])[C](=[O])[OH]++->[OH][C](=[O])[C](=[O])[OH]+[O][OH]++,25.408849503612146,-47.736156785394996,218439657.19533142,218439657.19533142,7425416027.108666,0.9376614380044349,232962184.7653663,73.14500628900714,22.9971211317461,-5.155797612853348,28.152918744599447,-8.093048227738413,142.88711131725384,-150.9801595449923
11,[OH][CH]([OH])[C](=[O])[O-]+[OH]+->[OH][C]([OH])[C](=[O])[O-]+[OH2]++,10.87788999825716,-155.59027878870256,76974350583.28433,7116208644.437029,7841112343.070899,4.113225606390378e-17,1.8713865454813793e+27,166.46816878695972,-22.5064272985328,-150.7502550079953,128.2438277094625,-112.02791039191261,16.24169053928614,-128.26960093119877
12,[OH][C]([OH])[C](=[O])[O-]+[O][O]+->[OH][C]([O][O])([OH])[C](=[O])[O-]+++,0.0,-102.67663431609981,6209312639317.121,7658186072.371147,7658186072.371147,0.0,9.939351882912955e+17,0.0,-39.57916146144271,-144.72284106025472,105.14367959881201,-132.81597805853258,-141.09465350387558,352.8311395933289
13,[OH][C]([O][O])([OH])[C](=[O])[O-]++->[OH][C](=[O])[C](=[O])[O-]+[O][OH]++,29.025653435382992,-33.74933100328781,50742414.958352275,50742414.958352275,7424532818.108105,61.62024764990947,823469.8248131421,62.7749844386708,27.343077143188566,9.444096834631637,17.89898030855693,-5.646229168437671,144.94438871785047,-150.59061788628816
14,[CH]([OH])[OH]+[O][O]+->[CH]([OH])([OH])[O][O]+++,0.0,-149.04649966210127,6209312639317.121,7693615735.22648,7693615735.22648,0.0,1.3340045282972846e+26,0.0,101779.53550841077,-188.28393921407405,101967.81944762485,341542.0654644657,-131.6692602415194,342173.89076384174
